"Vendor Name ",Contact Email,Notes,Phone Number,Status,"Vendor City ","Vendor Services ",Vendor Type,Instagram link,Created by
"Marvelous Clicks & Production ",-,"Covered colour fest, isb. Can cover enets in Punjab and KP overall",923468000005,Not started,Islamabad,"Photography/Videography, event production",Production,https://www.instagram.com/marvelousclicks?igsh=ZnZyemcyeXYxbDJ3,Syed Muntazir Abbas
Eliya Prime Production,aliartsproduction92@gmail.com,"Participanted in events for Pakistan Arts Council ",923002739292,Not started,Karachi,"Production house, artist facilitator",Production,https://www.instagram.com/eliyaprimeproduction?igsh=cDMycXowbnlka2Zk,Syed Muntazir Abbas
SNR Marketing Network,srida9231@gmail.com,Participated in events at Pakistan Arts Council,923147997401,Not started,Karachi,"Marketing services ",Marketing,https://www.instagram.com/snrmarketingnetwork?igsh=dmllYWE2eTVhb2Jr,Syed Muntazir Abbas
Eventus PR & Production,eventusproductions00@gmail.com,"Participating in a Hassan Raheem concert at pak arts council, khi",923083968863,Not started,Karachi,"PR and event production, overlooojing everything related to marketing",Production,https://www.instagram.com/eventus.pk?igsh=MTZ4OXJlOHJ6eGIybg==,Syed Muntazir Abbas
The 11th Media,the11thdigitalmedia@gmail.com,"Major event hosting company, organising large scale events like prism fest and summer rush",923318797941,Not started,Karachi,"Event management, artist management and booking, marketing and pr",Event Management,https://www.instagram.com/the11thmediaa?igsh=aXRvYWJ4NmtiM3Jo,Syed Muntazir Abbas
Protector Bouncers Squad,,Have worked with multiple events in the past is isb,923177918631,Not started,Islamabad,"Security/bouncers for events. Crowd control, protection for vips",Security,https://www.instagram.com/protector_bouncer_squad?igsh=bG0zZ25qNXlxYTBr,Syed Muntazir Abbas
"Private Eye Bouncers ",privateeyebouncers@gmail.com,Provides services all over Pakistan,,Not started,Islamabad,Security and bouncer services,Security,https://www.instagram.com/privateeyebouncer_?igsh=MWphYmtvbG9qaXR4YQ==,Syed Muntazir Abbas
Elite Life PR,elitelifepr.collab@gmail.com,Managing major brands like student biryani and bawarchi in isb,92 307 8622191,Not started,Islamabad,Influencer bases marketing,Marketing,https://www.instagram.com/elitelife_pr?igsh=MWttbmp2NXd4eXpodA==,Syed Muntazir Abbas
Optivism Studios,-,"Production partner for colour fest, isb",,Not started,Islamabad,Television/Film studio. Coverage for large scale events,Production,https://www.instagram.com/optivism_studio?igsh=Ymtsd3BqYnQxam8x,BeWhoop
"Sky Media Production House ",skymedia2018@gmail.com,Covered colour fest isb,923030151408,Not started,Islamabad,"Broadcasting, media production, brand shoot",Production,https://www.instagram.com/skymediaproductionhouse_?igsh=bjYzNmY5ZGFxNWlm,Syed Muntazir Abbas
"Techno Pakistan ",technopakistan0@gmail.com,Have hosted multiple events in isb with focus on music related events,,Not started,Islamabad,"Production house, record label, artist promotion",Production,https://www.instagram.com/techno_pakistan_official?igsh=a2ppam9lYzFsbW9x,Syed Muntazir Abbas
